pathway	definition	list
map00010	Glycolysis / Gluconeogenesis	K00121|K00134|K00138|K00163|K00382|K00850|K00873|K00927|K01222|K01223|K01610|K01624|K01689|K01803|K01810|K01834|K01835|K01895|K02446|K02779|K03737|K04072|K11645|K13953|K13954|K15633|K15634
map00020	Citrate cycle (TCA cycle)	K00024|K00031|K00163|K00164|K00239|K00240|K00244|K00245|K00246|K00247|K00382|K01610|K01647|K01676|K01679|K01681|K01682|K01902|K01903|K03737
map00030	Pentose phosphate pathway	K00033|K00036|K00615|K00616|K00850|K00948|K01624|K01783|K01807|K01808|K01810|K01835|K02446|K11645
map00040	Pentose and glucuronate interconversions	K00012|K01685|K01686|K01783|K01786|K01804|K08323
map00051	Fructose and mannose metabolism	K00068|K00850|K01624|K01711|K01803|K01808|K01809|K01818|K02446|K02794|K02795|K02796|K02800|K02813|K02814|K02815|K11645|K12661|K19956
map00052	Galactose metabolism	K00850|K01784|K01835|K02745|K10984|K10985|K10986|K12112
map00053	Ascorbate and aldarate metabolism	K00012|K01630|K01708|K02822|K03077|K03475|K03476
map00061	Fatty acid biosynthesis	K00059|K00208|K00645|K00647|K00648|K01716|K01961|K01962|K01963|K02160|K02372|K09458
map00071	Fatty acid degradation	K00121|K00626|K00632|K04072|K13953|K13954
map00072	Synthesis and degradation of ketone bodies	K00626
map00130	Ubiquinone and other terpenoid-quinone biosynthesis	K00568|K01661|K02548|K03179|K03182|K03183|K03186|K03809|K19222
map00190	Oxidative phosphorylation	K00239|K00240|K00244|K00245|K00246|K00247|K00330|K00331|K00334|K00335|K00336|K00337|K00338|K00339|K00340|K00341|K00342|K00343|K00425|K00937|K01507|K02108|K02109|K02110|K02111|K02112|K02113|K02114|K02115|K02297|K02298|K02299|K02300|K02301|K13378
map00195	Photosynthesis	K02108|K02109|K02110|K02111|K02112|K02113|K02114|K02115
map00220	Arginine biosynthesis	K00262|K00611|K00813|K00821|K00926|K01915|K01940|K14260
map00230	Purine metabolism	K00088|K00364|K00525|K00526|K00527|K00602|K00764|K00860|K00873|K00926|K00939|K00940|K00942|K00948|K00951|K00956|K00957|K00962|K01241|K01487|K01524|K01525|K01588|K01589|K01756|K01835|K01923|K01933|K01939|K01945|K01951|K01952|K02335|K02337|K02338|K02340|K02345|K02428|K03040|K03043|K03046|K03060|K03651|K03784|K04765|K05851|K08289|K08312|K11175|K20881
map00240	Pyrimidine metabolism	K00254|K00525|K00526|K00527|K00560|K00609|K00610|K00761|K00762|K00857|K00940|K00943|K00945|K00962|K01465|K01494|K01520|K01591|K01937|K01955|K01956|K02335|K02337|K02338|K02340|K02345|K03040|K03043|K03046|K03060|K03784|K04765|K08722|K09903|K16066|K16328|K16329|K17723|K20881
map00250	Alanine, aspartate and glutamate metabolism	K00135|K00262|K00266|K00278|K00609|K00610|K00764|K00813|K00820|K00823|K01424|K01744|K01756|K01914|K01915|K01939|K01940|K01953|K01955|K01956|K13821|K14260|K14268
map00260	Glycine, serine and threonine metabolism	K00058|K00060|K00133|K00281|K00382|K00600|K00639|K00831|K00865|K00998|K01696|K01753|K01834|K02437|K15633|K15634|K16066
map00261	Monobactam biosynthesis	K00133|K00215|K00956|K00957
map00270	Cysteine and methionine metabolism	K00024|K00133|K00548|K00549|K00640|K00651|K00789|K00797|K00813|K00826|K00832|K01243|K01611|K01738|K01739|K01760|K01919|K01920|K05396|K07173|K12339
map00280	Valine, leucine and isoleucine degradation	K00382|K00626|K00632|K00826|K01847
map00281	Geraniol degradation	K00632
map00290	Valine, leucine and isoleucine biosynthesis	K00052|K00053|K00826|K01652|K01653|K01687|K01703|K01704|K11258|K14260
map00300	Lysine biosynthesis	K00133|K00215|K00674|K00821|K01439|K01586|K01778|K01929
map00310	Lysine degradation	K00135|K00164|K00626|K01035|K01582|K14268
map00330	Arginine and proline metabolism	K00137|K00147|K00657|K00797|K00813|K01581|K01584|K01611|K09251|K13821
map00332	Carbapenem biosynthesis	K00147
map00333	Prodigiosin biosynthesis	K00059|K00208|K00645
